date,search_brand,search_nonbrand,social_facebook,social_instagram,display_programmatic,display_direct,tv_video,radio,email,affiliate,profit
2022-01-01,7538.191896943653,12696.110914616722,8392.680280678742,4565.904332329499,9419.583516926159,3378.0790809616346,8066.0530078685915,3709.749514996266,1725.617228436645,3496.3316719360682,16348.47218486211
2022-01-02,15143.158436052621,16502.767864970192,6688.160349527547,3017.6060451469516,4337.332172483859,3329.1405518004244,12337.179171055875,1855.4414179926796,1326.427330770727,2986.5541836844227,21330.68673212659
2022-01-03,7207.688155180604,13475.871383389698,5089.078726567788,3793.5938069274007,5567.951662131355,1742.8199471223827,12042.442164883654,2294.3436358740196,1552.3047216885361,2145.2038316474595,19765.500675988384
2022-01-04,7923.357564513697,11431.853436801908,8880.513242844514,4595.9474312971415,7310.33733433698,3452.6730295245466,16893.72650910393,1188.8693869037859,1092.1699953308166,3357.9784350453174,16568.51028043501
2022-01-05,3150.3273490895017,12179.829578242854,4045.4434634013023,4156.914033890634,5182.1792375265495,2354.9333698939363,13078.437404496988,265.88603111484804,2278.7170016112304,3244.0620800407155,17993.18252730154
2022-01-06,10212.533315189443,12982.021099224896,5779.515662091162,5875.097464634971,5485.460888257434,2509.1213313566363,11997.297585518878,2727.891773893095,1451.0415335397674,2737.245822558926,22833.294925963404
2022-01-07,6895.494100630146,10863.101824263198,2635.064145639644,2389.3630820343997,7820.337242209432,3408.641909894928,9854.948868408777,2485.6179262898277,1347.9593072647717,1708.560338873913,14369.265387878879
2022-01-08,7878.411787976717,14046.711050408587,5597.492007536313,2131.876989290361,8028.261906853602,4589.360686580848,12150.743274316208,100.0,1875.2623940923347,1490.7754237238403,18549.07431586108
2022-01-09,6943.918898236338,16875.264474260042,4832.884535881526,4867.39489330775,8284.238205640462,3989.8885654156365,1366.949000715029,1817.514177990049,1792.6082898828934,2526.6638664730135,21934.157660366163
2022-01-10,7722.634109450309,10910.55378451339,5091.18990022811,4420.141921440125,7009.557783040068,2929.612592980146,11063.023069223895,1671.2630397316082,682.0434063745422,1569.0902024683414,17680.44890094793
2022-01-11,7431.5058031587405,15622.590797551085,5555.722092467966,3342.3472203479423,3981.3258533487233,2812.125667626481,12583.368622941438,2709.4429228694576,2039.4742335216217,3588.8510477309046,18344.64723093053
2022-01-12,7913.916448438703,14628.978912693963,5420.005872488454,5304.71051455638,5725.65884077491,2286.0742676470713,3591.4204710287713,2561.004279699797,1386.9294634758164,4015.4427706323704,19414.862358314305
2022-01-13,7894.397034692307,13611.734583161593,3391.059136775495,3226.025803767397,4029.4306769451628,3055.912202670213,5792.407984684793,1228.1104595726547,589.5021721752465,1973.8060333012766,22233.4947073948
2022-01-14,7691.589377028235,12335.776855670594,4424.982295109005,4614.254097908545,4983.932942447162,678.31941284505,2470.219730988292,2778.6298784433316,1369.8344812983066,3724.763049068588,17949.13805250969
2022-01-15,7664.245546907441,13013.351612948132,5009.091070972493,3784.669363897082,7150.4506404563845,2876.791737206442,12139.95684646546,1969.5368600113052,1002.2692120802035,2701.7961875875903,18816.27925261594
2022-01-16,10617.036904652034,11347.820478384574,2856.23658344738,3069.962364731103,6331.770175009953,2355.9783334313843,13281.368301014649,2082.698888726136,1712.7626193426092,2448.498759262055,18940.72819751743
2022-01-17,9762.833839518516,17510.60551117979,6203.854175754942,3491.33203901828,10420.076405804422,2832.33417092656,4315.841444622891,2365.538932318982,1909.1431168039553,3431.1744291897985,24534.03337017578
2022-01-18,9774.884636893179,9844.79053273361,7824.3234646251285,5405.8301019113915,6527.147388520032,1489.2503197631845,8784.111259742227,2688.8217982059678,1501.770995503543,3092.3511215555786,24469.482537420292
2022-01-19,6535.102237776448,15404.834082857804,5455.315301866172,3536.5040676851786,6818.144460800866,2585.2774510248732,5997.266863375058,592.6896039337262,1197.2983210025814,2195.9874571867776,21823.200102669856
2022-01-20,10513.641663696728,16649.165163796846,4208.430252319824,5809.908885268336,5944.830805971967,4495.75151099107,12204.986376502766,1273.9416374048137,1015.7694320790899,2882.992307330221,21061.888002372918
2022-01-21,10263.289018391775,11030.5970015319,1547.1133083224768,4186.514412207328,7542.56443780955,3190.9187186504732,6127.610312534547,904.1745894995524,1710.6135292468934,3081.1977634218874,21419.16307257906
2022-01-22,6893.19134239687,15497.540877876325,2718.6376155321245,3695.6863400051543,9332.637602985933,1881.6098161061436,6433.509846167535,2440.117633525163,1427.7916127735723,4162.599905378994,23029.510593352257
2022-01-23,11047.704034399607,12431.944038693033,5508.843296023118,2794.888241421815,6339.410551872152,2544.7152524809408,11665.740038616525,3801.3138186743336,835.0993084292132,2907.9618307238406,18443.842892824716
2022-01-24,6633.548114000421,12187.07936590651,6893.654805196258,4811.801514156938,9048.266890280225,3130.5487900763883,19304.39180730548,1112.6443751081242,1872.7609207258288,2785.061998588804,23023.69461527456
2022-01-25,4315.936323189846,11776.308921491636,4669.873446459153,4247.37232322209,5803.538944456961,714.1545412887008,6740.603418586577,1334.4283991784637,1111.6735794087097,3126.566601045885,17479.84083274449
2022-01-26,10203.051972306344,7158.806698372737,2769.1380983906743,3906.0699403645835,8153.585131582933,5360.208070825191,7289.522087847933,2578.351227490232,1790.2240187517525,2065.383380714972,18874.70433363491
2022-01-27,7760.962439139848,13643.771874755115,3693.4621338153183,4119.889372181631,5842.648000535771,3259.258312345277,8795.430138384403,2929.8122893928653,1234.945527479914,3017.388154151561,22115.313617053784
2022-01-28,9953.843129149966,16330.655293055239,4141.656878634481,3854.2792686482267,5793.788506446255,3256.922711615564,12342.814240140759,2419.1946134296477,1146.7627780206055,1805.3571311917583,17696.353394043144
2022-01-29,6491.595674551618,9885.838732126183,2101.1789545261017,2564.0633334191825,1955.4208571073177,3780.7882945380625,10749.649454682034,2251.820889891302,1585.634429346495,4169.083810572373,19879.50905369938
2022-01-30,5476.459976505916,14542.015974237118,4534.150646779967,4785.390147631639,2398.22257213212,3561.676047467248,7420.338151877237,837.9922430230738,2526.280975514378,2687.4096897629743,18455.5522670425
2022-01-31,10463.74357724794,11744.383823118835,6338.580137531199,6228.578992806151,5757.69318718685,4437.853817325308,8168.761852578124,1735.6821323724168,1717.5614769456963,2471.3435849680495,20119.15093996758
2022-02-01,5185.462873208466,8721.932175067757,2477.3271264245623,6037.631880031879,7506.9789428364,4700.877569831031,7789.303097568869,1938.355182393707,1113.2535756771833,3827.4735166539604,14859.608506022092
2022-02-02,4877.938977125273,14993.66989715935,4160.5399207989985,4126.645922449061,5914.388156350903,2183.974067657184,5601.806443793791,3392.4475171888053,1906.5336923079212,1971.3851377475726,16851.981485477034
2022-02-03,4148.826218471295,17058.110493888733,1963.543586803571,3695.776476156244,4312.401971437642,1058.51354026751,13993.903496459656,1907.041187947786,1360.3973169246426,2055.8752848403515,18973.572607771897
2022-02-04,2411.055403384843,9617.24292339117,3771.2759850705097,4101.575500494334,4080.5446433976485,1303.9862572381367,8518.53506884618,1911.7508857409966,2236.423775531225,2372.65867991089,21950.48645902793
2022-02-05,5921.79123347122,12647.405086598621,4777.933956453121,3254.32741310802,7505.627553998243,5202.472967882411,12059.222406000921,1826.6156513956353,751.0535124769749,2186.8977736313645,20265.674477625173
2022-02-06,3661.1840831759273,7680.7928769619475,6531.8093187642335,4337.236821441517,3955.9377680666,1922.8370906656792,7519.1782236319395,1143.3253174786312,2335.1359230855246,3668.53952190417,20365.308326071947
2022-02-07,7928.789030780341,11873.978044286294,5683.562950372904,4449.385926251501,7670.823269567236,4505.112638221304,10427.17358846064,3621.9741051652663,1843.3856920937742,1768.3003235723263,22312.04020229244
2022-02-08,3527.165299350705,13458.19920852979,3224.8284478819223,2556.5090758194697,7392.9032822587005,1933.3628628204726,14281.175511116533,1333.388639590281,1045.1122015189983,2803.2622598372186,18964.69115023318
2022-02-09,5811.45316164802,17258.72881753038,5140.971964280234,3605.3778739844,8995.497173066082,4296.894950755277,15926.307103879988,1253.4422790024669,916.6985685221337,1872.7299663200417,21714.81651560809
2022-02-10,12664.123992419314,16672.721148378372,4499.099882995702,5049.0420299427715,10922.5895698268,4286.711889211717,13865.78066752896,2264.4656427272307,1981.3552237176918,1493.843723095647,20035.96706957164
2022-02-11,8690.248481224144,16927.495024689662,4980.69480792818,5080.562488842764,5497.735136812913,3233.6699264629406,6381.33858945646,1282.7893187848667,1258.5631991295616,971.9108214736368,17689.564599652163
2022-02-12,8105.611350815453,10418.724174383871,4700.757758525517,2490.0333391280137,5771.409901014915,2362.97308496288,4145.5384664917865,2330.823073359303,916.799559944889,3254.2146640738515,19951.024642023593
2022-02-13,4758.496039360285,11264.504794502953,5470.0581016236565,5315.0258646897,8890.993839382998,4150.314228643314,9891.76067463133,3137.0368583727295,1590.3490312062247,1802.166285461469,22230.80673589071
2022-02-14,7508.804668102458,7007.08372523419,5271.668954931158,3657.163101577237,5908.481303144148,2447.511711813464,11998.867413250955,1040.8565650877379,1765.0094639468737,2075.4870643570475,21581.15786886874
2022-02-15,8096.2171262732345,9854.533474743064,6299.650222685882,3967.953597939659,2876.2673762526188,4561.837990478069,16854.40420988219,1712.5717358214758,1755.5691871850631,2753.2003030900532,21194.114201354016
2022-02-16,4789.6384084258825,7644.5123944646775,5174.887830004738,3804.4192072684205,4464.36132893361,2414.9747872572234,9667.118762447408,1599.8746456138028,918.7035116862828,3024.5211330514867,25602.88549334587
